id;contact_status;contact_type;contact_description
1;Configurable iterate Liechtenstein;49656;monetize superstructure Fantastic
2;Industrial;90538;Fantastic time-frame Quality
3;Borders Borders Practical;9170;Money Market Account
4;Danish Krone parse;79157;back-end Unbranded Cambridgeshire
5;Designer;5587;circuit Guam
6;Frozen Metal program;61821;Refined Practical Algerian Dinar
7;revolutionize;89189;Steel Avon Visionary
8;exploit transition;81279;Interactions
9;Pennsylvania dynamic bandwidth;48166;mesh system Triple-buffered
10;Cotton;49262;Tools
