id;os_version;app_version;phone_model;sla;sla_type;error_time;priority_code;status_code;occurrence_ti_description
1;contextually-based;synergies copying;ability Hat Iraq;48482;22210;2019-09-02T20:11:15;11986;26941;User-centric Gloves
2;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688;26678;2019-09-02T22:10:35;97661;50267;Small Plastic Pants Investor
3;Canadian Dollar;Berkshire Designer;Credit Card Account;8085;76161;2019-09-03T03:56:03;23763;24215;cross-platform Point Orchestrator
4;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;51209;80950;2019-09-03T07:22:11;34866;64517;Sausages
5;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216;55520;2019-09-03T00:24:24;52965;26082;Executive
6;Customer Human deposit;even-keeled Saint Helena Pound;Internal AI optical;64203;85092;2019-09-03T10:47:11;93563;16162;Dynamic Home Loan Account Tools
7;Branding;Home Gloves Latvia;Ports Manager Fish;1807;23724;2019-09-03T00:57:08;32539;17882;world-class program alarm
8;Nevada;Berkshire;dedicated Persevering;97301;97889;2019-09-03T03:22:17;48674;89204;withdrawal cross-platform Borders
9;Libyan Dinar CSS;sensor;Alaska;76855;64547;2019-09-03T11:45:33;17711;99455;Villages uniform PCI
10;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;85113;26847;2019-09-03T05:11:59;48527;16949;Maryland Configuration
