id;occurrence_description;employee_id;employee_name;contact_type;contact_status
1;generating;86040;Assimilated;3883;82260
2;back-end;12706;South Georgia and the South Sandwich Islands;76999;27154
3;Orchestrator;45726;backing up;19438;53135
4;Peru deposit;72609;Strategist;51630;71459
5;Licensed Cotton Ball;43352;bypass Ameliorated;18433;96264
6;navigating;69597;paradigms Salad Table;25024;23978
7;Handmade Tuna;93461;invoice;51669;73789
8;Jamaica Credit Card Account;41960;Organic;35597;15864
9;Steel leading-edge Small;9415;solution;97951;70365
10;Bridge;9783;Buckinghamshire Hollow Shoes;43385;64977
